market_ID,vendor_ID,City,Health_unit,Yearround,Visit_date,Visit_month,Visit_day,Location,Public_private,no_vendors,no_TCSfood_vendors,communal_sinks,electrical_access,pet_signs,pets_visible,no_vendors_working,time_start,vendor_roles,TCS_rawmeat,TCS_rtemeat,TCS_preparedfood,TCS_produce,TCS_sprouts,TCS_cheese_dairy,TCS_eggs,TCS_cider_juice,FS_info,FS_info_description,Visible_handwashing_station,Visible_sanitizer,Visible_trashcan_lid,Visible_trashcan_nolid,Visible_trashcan,Visible_none,Clean_contact_surfaces,Food_off_ground,Protect_sneeze,Protect_mesh,Protect_plastic,Protect_coolers,Protect_covered,Protect_none_forsome,Protect_atleastone,Rawmeats_separate,Coldholding_foods_sold,Cold_units,Cold_coolers,Cold_ice,Cold_none_forsome,Coldholding_thermometers,Hotholding_foods_sold,Hot_units,Hot_grill,Hot_none_forsome,Hotholding_thermometers,Cooking_thermometeres,Food_samples,TCSfood_samples,Sample_types,Samples_singleservingitems,gender,vendor_cleanattire,vendor_hair,vendor_healthy,beh_handle_food,beh_cash,beh_waste,beh_dishes,beh_phone,beh_belongings,beh_pickup,beh_touchface,beh_eatdrink,beh_smoke,beh_animals,beh_coughsneeze,transactions,handwashing_attempts,handwashing_adequate,sanitizer_use,Handle_hands,Handle_gloves,Handle_tongs,Handle_napkin_plastic,gloves_changed,end_time
3,21.0,Toronto,Toronto,No,2018-06-10,June,Sunday,Outdoors only,"Publicly owned property (e.g. community centres, parks)",28,22,Yes,No,No,Yes,1.0,10:46:00,Multiple work roles,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,No,,0.0,0.0,0.0,0.0,0.0,1.0,Yes,Yes,0.0,0.0,1.0,1.0,0.0,0.0,1.0,Yes,Yes,1.0,1.0,0.0,0.0,No,No,0.0,0.0,0.0,N/a - no foods are being sold that require hot-holding temperature control,N/a - no food is being cooked on site,No,No,,N/a - no food samples are offerred,Male,Yes,Yes,Yes,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,11:06:00
3,22.0,Toronto,Toronto,No,2018-06-10,June,Sunday,Outdoors only,"Publicly owned property (e.g. community centres, parks)",28,22,Yes,No,No,Yes,2.0,11:08:00,Multiple work roles,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,No,,1.0,0.0,0.0,0.0,0.0,0.0,Yes,Yes,0.0,0.0,1.0,1.0,0.0,1.0,0.0,"N/a - no raw meats, poultry or fish are present",Yes,0.0,1.0,1.0,1.0,No,No,0.0,0.0,0.0,N/a - no foods are being sold that require hot-holding temperature control,N/a - no food is being cooked on site,No,No,,N/a - no food samples are offerred,Female,Yes,Yes,Yes,0.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,11:18:00
3,23.0,Toronto,Toronto,No,2018-06-10,June,Sunday,Outdoors only,"Publicly owned property (e.g. community centres, parks)",28,22,Yes,No,No,Yes,2.0,11:23:00,Single work roles,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,No,,1.0,0.0,0.0,1.0,1.0,0.0,Yes,Yes,0.0,0.0,0.0,1.0,1.0,0.0,1.0,Yes,Yes,0.0,1.0,0.0,0.0,No,Yes,1.0,1.0,0.0,No,No,No,No,,N/a - no food samples are offerred,Male,Yes,Yes,Yes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,11:33:00
3,24.0,Toronto,Toronto,No,2018-06-10,June,Sunday,Outdoors only,"Publicly owned property (e.g. community centres, parks)",28,22,Yes,No,No,Yes,2.0,11:39:00,Single work roles,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,No,,0.0,1.0,0.0,0.0,0.0,0.0,Yes,Yes,0.0,0.0,0.0,0.0,1.0,1.0,0.0,Yes,Yes,0.0,1.0,0.0,1.0,No,Yes,1.0,1.0,0.0,No,No,No,No,,N/a - no food samples are offerred,Male,Yes,Yes,Yes,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,11:49:00
3,25.0,Toronto,Toronto,No,2018-06-10,June,Sunday,Outdoors only,"Publicly owned property (e.g. community centres, parks)",28,22,Yes,No,No,Yes,2.0,11:53:00,Multiple work roles,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,No,,0.0,0.0,0.0,0.0,0.0,1.0,Yes,Yes,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"N/a - no raw meats, poultry or fish are present",Yes,0.0,1.0,0.0,1.0,No,Yes,0.0,1.0,0.0,No,No,No,No,,N/a - no food samples are offerred,Male,Yes,Yes,Yes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,12:03:00
3,26.0,Toronto,Toronto,No,2018-06-10,June,Sunday,Outdoors only,"Publicly owned property (e.g. community centres, parks)",28,22,Yes,No,No,Yes,2.0,12:04:00,Multiple work roles,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,No,,1.0,0.0,0.0,0.0,0.0,0.0,Yes,Yes,0.0,0.0,1.0,1.0,1.0,0.0,1.0,"N/a - no raw meats, poultry or fish are present",Yes,0.0,1.0,0.0,1.0,No,Yes,1.0,0.0,0.0,No,No,No,No,,N/a - no food samples are offerred,Female,Yes,Yes,Yes,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,12:14:00
3,27.0,Toronto,Toronto,No,2018-06-10,June,Sunday,Outdoors only,"Publicly owned property (e.g. community centres, parks)",28,22,Yes,No,No,Yes,1.0,12:15:00,Multiple work roles,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,No,,0.0,0.0,0.0,0.0,0.0,1.0,Yes,Yes,0.0,0.0,1.0,0.0,0.0,0.0,1.0,"N/a - no raw meats, poultry or fish are present",Yes,0.0,1.0,0.0,1.0,No,No,0.0,0.0,0.0,N/a - no foods are being sold that require hot-holding temperature control,N/a - no food is being cooked on site,No,No,,N/a - no food samples are offerred,Female,Yes,Yes,Yes,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,12:25:00
3,28.0,Toronto,Toronto,No,2018-06-10,June,Sunday,Outdoors only,"Publicly owned property (e.g. community centres, parks)",28,22,Yes,No,No,Yes,1.0,12:25:00,Multiple work roles,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,No,,0.0,0.0,0.0,1.0,1.0,0.0,Yes,Yes,0.0,0.0,0.0,1.0,0.0,0.0,1.0,"N/a - no raw meats, poultry or fish are present",Yes,0.0,1.0,0.0,0.0,No,No,0.0,0.0,0.0,N/a - no foods are being sold that require hot-holding temperature control,N/a - no food is being cooked on site,No,No,,N/a - no food samples are offerred,Male,Yes,Yes,Yes,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,12:35:00
3,29.0,Toronto,Toronto,No,2018-06-10,June,Sunday,Outdoors only,"Publicly owned property (e.g. community centres, parks)",28,22,Yes,No,No,Yes,2.0,12:29:00,Multiple work roles,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,,0.0,0.0,0.0,0.0,0.0,1.0,Yes,Yes,0.0,0.0,1.0,1.0,0.0,0.0,1.0,Yes,Yes,0.0,1.0,0.0,0.0,No,No,0.0,0.0,0.0,N/a - no foods are being sold that require hot-holding temperature control,N/a - no food is being cooked on site,No,No,,N/a - no food samples are offerred,Female,Yes,Yes,Yes,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,12:39:00
3,30.0,Toronto,Toronto,No,2018-06-10,June,Sunday,Outdoors only,"Publicly owned property (e.g. community centres, parks)",28,22,Yes,No,No,Yes,1.0,12:41:00,Multiple work roles,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,,0.0,0.0,0.0,0.0,0.0,1.0,Yes,Yes,0.0,0.0,1.0,1.0,0.0,0.0,1.0,Yes,Yes,0.0,1.0,0.0,0.0,No,No,0.0,0.0,0.0,N/a - no foods are being sold that require hot-holding temperature control,N/a - no food is being cooked on site,No,No,,N/a - no food samples are offerred,Male,Yes,Yes,Yes,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,12:51:00
